,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.9555555555555556,0.9555555555555556,0.9545454545454546,0.9525252525252526,0.9555555555555556,0.9484848484848485,0.6808080808080809,0.7262626262626263,0.7181818181818181,0.793939393939394,0.8353535353535354,0.7222222222222222,0.7171717171717171,0.7111111111111111,0.7909090909090909,0.8484848484848485,0.9828282828282828,0.9121212121212121,0.9505050505050505,0.8909090909090909,0.9424242424242424,0.997979797979798,0.0,0.0,0.0,0.0
FOLD 2,0.9595959595959596,0.9595959595959596,0.9575757575757575,0.9515151515151515,0.9595959595959596,0.9434343434343434,0.6686868686868687,0.7161616161616161,0.7080808080808081,0.7757575757575758,0.8151515151515152,0.7090909090909091,0.705050505050505,0.7,0.7747474747474747,0.8232323232323232,0.9858585858585859,0.9161616161616162,0.9535353535353536,0.8909090909090909,0.9323232323232323,0.996969696969697,0.0,0.0,0.0,0.0
FOLD 3,0.9595959595959596,0.9595959595959596,0.9565656565656566,0.9505050505050505,0.9595959595959596,0.9484848484848485,0.6686868686868687,0.7222222222222222,0.7151515151515152,0.7858585858585858,0.8141414141414142,0.706060606060606,0.702020202020202,0.702020202020202,0.7838383838383839,0.8252525252525252,0.9838383838383838,0.9101010101010101,0.9444444444444444,0.8858585858585859,0.9272727272727272,0.997979797979798,0.0,0.0,0.0,0.0
FOLD 4,0.9545454545454546,0.9545454545454546,0.9484848484848485,0.9444444444444444,0.9545454545454546,0.9434343434343434,0.6626262626262627,0.7121212121212122,0.703030303030303,0.7656565656565657,0.8222222222222222,0.706060606060606,0.702020202020202,0.694949494949495,0.7656565656565657,0.8323232323232324,0.9878787878787879,0.9111111111111111,0.9454545454545454,0.8929292929292929,0.9303030303030303,0.996969696969697,0.0,0.0,0.0,0.0
FOLD 5,0.9555555555555556,0.9555555555555556,0.9525252525252526,0.9464646464646465,0.9555555555555556,0.9424242424242424,0.6666666666666666,0.7151515151515152,0.7111111111111111,0.7868686868686868,0.8242424242424242,0.705050505050505,0.704040404040404,0.7,0.7858585858585858,0.8383838383838383,0.9858585858585859,0.9131313131313131,0.9525252525252526,0.8929292929292929,0.9353535353535354,1.0,0.0,0.0,0.0,0.0
FOLD 6,0.9525252525252526,0.9525252525252526,0.9484848484848485,0.9444444444444444,0.9525252525252526,0.9454545454545454,0.6696969696969697,0.7262626262626263,0.7131313131313132,0.7919191919191919,0.805050505050505,0.7181818181818181,0.7131313131313132,0.704040404040404,0.7787878787878788,0.8202020202020202,0.9858585858585859,0.9191919191919192,0.9494949494949495,0.8939393939393939,0.9303030303030303,0.998989898989899,0.0,0.0,0.0,0.0
FOLD 7,0.9616161616161616,0.9616161616161616,0.9565656565656566,0.9535353535353536,0.9616161616161616,0.9525252525252526,0.6838383838383838,0.7323232323232324,0.7292929292929293,0.7858585858585858,0.8282828282828283,0.7202020202020202,0.7131313131313132,0.7151515151515152,0.7868686868686868,0.8303030303030303,0.9848484848484849,0.9232323232323232,0.9565656565656566,0.8888888888888888,0.9444444444444444,0.998989898989899,0.0,0.0,0.0,0.0
FOLD 8,0.9585858585858585,0.9585858585858585,0.9484848484848485,0.9464646464646465,0.9585858585858585,0.9505050505050505,0.6545454545454545,0.7171717171717171,0.7131313131313132,0.7717171717171717,0.8202020202020202,0.7070707070707071,0.706060606060606,0.703030303030303,0.7767676767676768,0.8393939393939394,0.9848484848484849,0.9171717171717172,0.9484848484848485,0.897979797979798,0.9323232323232323,1.0,0.0,0.0,0.0,0.0
FOLD 9,0.9494949494949495,0.9494949494949495,0.9474747474747475,0.9434343434343434,0.9494949494949495,0.9454545454545454,0.6919191919191919,0.7383838383838384,0.7323232323232324,0.7858585858585858,0.8232323232323232,0.7373737373737373,0.7282828282828283,0.7191919191919192,0.7808080808080808,0.8333333333333334,0.9838383838383838,0.9202020202020202,0.9484848484848485,0.895959595959596,0.9292929292929293,0.998989898989899,0.0,0.0,0.0,0.0
FOLD 10,0.9535353535353536,0.9535353535353536,0.9494949494949495,0.9464646464646465,0.9535353535353536,0.9464646464646465,0.6636363636363637,0.7181818181818181,0.7191919191919192,0.7828282828282829,0.8282828282828283,0.7111111111111111,0.7101010101010101,0.704040404040404,0.7838383838383839,0.8363636363636363,0.9818181818181818,0.9181818181818182,0.9484848484848485,0.8888888888888888,0.9353535353535354,0.996969696969697,0.0,0.0,0.0,0.0
MEAN,0.956060606060606,0.956060606060606,0.9520202020202019,0.9479797979797981,0.956060606060606,0.9466666666666667,0.6711111111111111,0.7224242424242424,0.7162626262626264,0.7826262626262627,0.8216161616161617,0.7142424242424241,0.7101010101010102,0.7053535353535353,0.7808080808080808,0.8327272727272728,0.9847474747474747,0.916060606060606,0.9497979797979799,0.891919191919192,0.933939393939394,0.9983838383838384,0.0,0.0,0.0,0.0
